h3_index,h3_resolution,hex_lat,hex_lon,expected_unit_count,max_p_any_unit,contributing_units
851e496bfffffff,5,46.3583,35.3414,0.00529,0.000737,17
851e4d03fffffff,5,47.8594,34.8506,0.010404,0.002094,32
851e59a7fffffff,5,45.6246,32.683,0.001345,0.000835,10
852d2c37fffffff,5,44.7888,32.9906,0.002481,0.001673,6
852d4247fffffff,5,45.6669,41.6364,0.001047,0.000992,5
852d4343fffffff,5,46.3699,42.4755,0.000567,0.000533,5
852d2d33fffffff,5,45.4957,33.7993,0.001541,0.000713,10
851e486ffffffff,5,46.5302,33.9981,0.004594,0.002551,17
852d743bfffffff,5,45.948,36.3923,0.002659,0.000405,16
851e482bfffffff,5,46.7591,34.2741,0.00565,0.001946,17
852d2d77fffffff,5,45.2081,33.9719,0.001934,0.001039,10
852d4387fffffff,5,47.1231,42.1203,0.000326,0.000186,5
852d4203fffffff,5,45.9663,41.4935,0.000877,0.000793,5
851e49affffffff,5,46.919,36.0377,0.01944,0.003524,31
852d757bfffffff,5,46.3271,37.3885,0.004794,0.000668,30
852d627bfffffff,5,47.088,38.3745,0.021593,0.00125,34
852d72b7fffffff,5,45.1704,38.0143,0.001215,0.000842,15
852d5503fffffff,5,45.1443,40.5485,0.000984,0.000777,6
852d44c7fffffff,5,47.1179,39.1487,0.007206,0.000658,31
852d4697fffffff,5,46.5312,39.4603,0.001509,0.000386,24
852d76bbfffffff,5,45.1445,36.4403,0.001108,0.000589,16
852d40c3fffffff,5,46.8032,40.4941,0.000779,0.000256,12
852d4033fffffff,5,47.2487,41.2608,0.000539,0.000292,6
852d4607fffffff,5,46.2987,40.1638,0.000825,0.000307,12
852d7177fffffff,5,46.3342,38.9774,0.001793,0.00045,25
852d7227fffffff,5,44.9195,38.7329,0.001016,0.000749,7
851e4c2ffffffff,5,47.7199,33.8853,0.003464,0.000798,17
852d51affffffff,5,45.3001,42.1931,0.001173,0.001156,5
852d4173fffffff,5,47.6605,42.2641,0.000251,0.00017,5
852d5593fffffff,5,45.3909,39.8527,0.000885,0.000439,6
852d7367fffffff,5,45.283,39.7133,0.000891,0.000395,6
852d760bfffffff,5,44.7085,36.6803,0.000972,0.000719,11
852d2973fffffff,5,44.8934,35.3761,0.00093,0.000384,10
851e4d6ffffffff,5,47.3244,34.9698,0.015662,0.003775,31
852d2ca3fffffff,5,44.8383,32.547,0.001593,0.000908,5
852d7037fffffff,5,45.9707,37.9826,0.002001,0.000471,25
852d42b3fffffff,5,46.4146,41.2764,0.000657,0.000483,6
852d0d8ffffffff,5,44.0102,36.8601,0.000716,0.000625,6
852d5453fffffff,5,44.0047,39.3878,0.000607,0.000421,6
851e5917fffffff,5,45.5544,32.0997,0.000749,0.000521,6
851e48dbfffffff,5,47.2907,33.1008,0.004817,0.00335,12
852d280ffffffff,5,44.2225,34.3474,0.001696,0.000937,6
852d74a7fffffff,5,46.3788,36.1466,0.006508,0.000753,30
852d74cbfffffff,5,45.5266,35.6207,0.00132,0.000262,17
851e4eaffffffff,5,47.3162,32.8723,0.004344,0.003029,12
852d2833fffffff,5,44.4854,34.3975,0.001927,0.001109,6
852d542ffffffff,5,44.5147,40.2848,0.000823,0.000578,6
851e593bfffffff,5,45.2687,32.2797,0.000875,0.000537,6
852d7013fffffff,5,45.6733,37.3477,0.001697,0.000606,15
851e4a1bfffffff,5,46.2869,32.6853,0.005914,0.003676,10
852d294ffffffff,5,44.6327,35.3229,0.000894,0.000412,10
852d42d7fffffff,5,45.9117,40.9386,0.000861,0.000693,6
852d2cc7fffffff,5,44.3341,32.2368,0.001028,0.000563,4
851e4d93fffffff,5,48.391,34.7297,0.003708,0.000584,35
852d556ffffffff,5,44.9005,41.2354,0.001141,0.001062,5
852d738bfffffff,5,45.466,38.6452,0.001144,0.000622,15
852d7153fffffff,5,46.0451,38.3395,0.00187,0.00044,25
851e4b5bfffffff,5,45.8986,33.7615,0.001891,0.001144,10
852d4673fffffff,5,46.0029,40.3135,0.00081,0.000453,6
852d5c83fffffff,5,45.9512,42.4735,0.000816,0.000798,5
852d51d3fffffff,5,44.7513,41.3061,0.001124,0.001055,5
852d2b87fffffff,5,44.3712,35.2699,0.000831,0.000417,6
852d620ffffffff,5,47.3735,38.2178,0.055812,0.002412,37
852d7293fffffff,5,44.8693,37.3858,0.001147,0.000893,11
852d724bfffffff,5,44.0706,38.1971,0.000811,0.000746,6
852d6257fffffff,5,47.1586,37.9338,0.040117,0.002048,37
852d462bfffffff,5,46.2395,40.5824,0.000752,0.000433,6
851e4807fffffff,5,47.0426,34.0994,0.006202,0.002352,17
852d4057fffffff,5,46.7436,40.9178,0.000632,0.000275,6
852d73d3fffffff,5,45.2462,38.3677,0.001166,0.000765,15
852d5093fffffff,5,44.368,40.3558,0.000777,0.000563,5
851e4b13fffffff,5,46.2174,34.3959,0.002709,0.000947,17
851e4ddbfffffff,5,48.0853,34.0767,0.00268,0.000461,22
